𒀭,𒀭,"AN
(A11, AL7 (Labat; MesZL: AL7 missing), AM6, ANA2 (MesZL: Deimel ANA), ANU, DIBUR, DIGIR, DIMIR, DINGIR, DIR3, EL3 (MesZL: erroneously Labat EL2; Labat: in sllabary as well as in index EL3), EŠŠU (Labat), EŠŠUx (MesZL: Deimel and Labat EŠŠU), IL3, ILA, ILI(MesZL: Deimel ILI4, Labat IL; Labat: ILI = IL (no. 348)), ILI3 (Labat; MesZL: ILI3 missing), ILU (MesZL: Labat IL; Labat: in index ILU = IL (no. 348), but in syllabary ILU = AN), ILU3 (Labat; MesZL: ILU3 missing), LE4, LI4 (Labat; MesZL: LI4 missing), SA8, ṢA3, ŠUBUL, UGUR2 (Labat; MesZL: UGUR2 =SIG7 (no. 564)), UL11 (Labat: ?; MesZL: UL11 missing), ZA5)
(ePSD; Akkadian Dictionary)",10,13,"U+1202D
(AN)"
𒀭𒀸𒀭,𒀭𒀸𒀭,"AN.AŠ.AN
(TILLA2)
(ePSD; Akkadian Dictionary)",010+001+010,013+001+013,"U+1202D & U+12038 & U+1202D
(AN & ASH & AN)"
𒀭𒀸𒀀𒀭,𒀭𒀸𒀀𒀭,"AN.AŠ.A.AN
(TILLA4 (MesZL: ?))
(ePSD; Akkadian Dictionary)",010+001+839+010,013+001+579+013,"U+1202D & U+12038 & U+12000 & U+1202D
(AN & ASH & A & AN)"
𒀭𒀭,𒀭𒀭,"AN.AN
(NAB3 (MesZL: also NAB (no. 246; AN over AN), Labat differently; Labat: NAB3 in index missing, NAP3 = MUL (no. 247; AN over AN.AN)))
(ePSD; Akkadian Dictionary)",010+010,013+013,"U+1202D & U+1202D
(AN & AN)"
𒀭𒌅,𒀭𒌅,"AN.TU
(KUNIGARA3 (MesZL; Labat: KUNIGARA3 = ID2KUNIGARA3 (no. 839)))
(ePSD; Akkadian Dictionary)",010+086,013+058,"U+1202D & U+12305
(AN & TU)"
𒀭𒈾,𒀭𒈾,"AN.NA
(NAGGA, NANGA5, NIGGI)
(ePSD; Akkadian Dictionary)",010+110,013+070,"U+1202D & U+1223E
(AN & NA)"
𒀭𒂗𒍪,𒀭𒂗𒍪,"AN.EN.ZU
(TUNGAL)
(ePSD; Akkadian Dictionary)",010+164+015,013+099+006,"U+1202D & U+12097 & U+1236A
(AN & EN & ZU)"
𒀭𒂗𒆠,𒀭𒂗𒆠,"AN.EN.KI
(TUNGAL2)
(ePSD; Akkadian Dictionary)",010+164+737,013+099+461,"U+1202D & U+12097 & U+121A0
(AN & EN & KI)"
𒀭𒉀,𒀭𒉀,"AN.NAGA
(NANIBGAL)
(ePSD; Akkadian Dictionary)",010+293,013+165,"U+1202D & U+12240
(AN & NAGA)"
𒀭𒊌,𒀭𒊌,"AN.UG
(DUNGA3 (Labat: in index DUNGA3 = AN.UG (nos. 10+296), but no. 130 (= MesZL 296)); MesZL: DUNGA3 missing))
(ePSD; Akkadian Dictionary)",010+296,013+130,"U+1202D & U+1228C
(AN & PIRIG TIMES UD)"
𒀭𒉈,𒀭𒉈,"AN.NE
(ANBIR (Labat; MesZL: ANBIR missing))
(ePSD; Akkadian Dictionary)",010+313,013+172,"U+1202D & U+12248
(AN & NE)"
𒀭𒀲,𒀭𒀲,"AN.ANŠE
(ŠAKAN4 (Labat; MesZL: ŠAKAN4 = ANŠE.AN (nos. 353+010)))
(ePSD; Akkadian Dictionary)",010+353,013+208,"U+1202D & U+12032
(AN & ANSHE)"
𒀭𒋃,𒀭𒋃,"AN.ŠID
(UTTU2 (Labat: UTTU2 = AN.ŠID (nos. 10+485), UTTU3 = ŠID (no. 485); MesZL: UTTU2 = ŠID (no. 485), UTTU3 missing))
(ePSD; Akkadian Dictionary)",010+485,013+314,"U+1202D & U+122C3
(AN & SHID)"
𒀭𒊨,𒀭𒊨,"AN.DUL3
(SIL3)
(ePSD; Akkadian Dictionary)",010+512,013+329,"U+1202D & U+122A8
(AN & SAG GUNU)"
𒀭𒋀𒆠,𒀭𒋀𒆠,"AN.ŠEŠ.KI
(NANNA2 (MesZL: better to be deleted), dNANNA, dNANNAR)
(ePSD; Akkadian Dictionary)",010+535+737,013+331+461,"U+1202D & U+12336 & U+121A0
(AN & URI3 & KI)"
𒀭𒁈,𒀭𒁈,"AN.BARA2
(KUNIGARA (MesZL; Labat: KUNIGARA = ID2KUNIGARA (no. 839)))
(ePSD; Akkadian Dictionary)",010+554,013+344,"U+1202D & U+12048
(AN & BARA2)"
𒀭𒊺𒉀,𒀭𒊺𒉀,"AN.ŠE.NAGA
(NANIBGAL2)
(ePSD; Akkadian Dictionary)",010+579+293,013+367+165,"U+1202D & U+122BA & U+12240
(AN & SHE & NAGA)"
𒀭𒈲,𒀭𒈲,"AN.MUŠ
(KUNIGARA2 (MesZL; Labat: KUNIGARA2 = ID2KUNIGARA2 (no. 839)))
(ePSD; Akkadian Dictionary)",010+585,013+374,"U+1202D & U+12232
(AN & MUSH)"
𒀭𒈶,𒀭𒈶,"AN.RI8
(AN.MUŠ over MUŠ; KUNIGARA4 (MesZL; Labat: KUNIGARA4 = ID2KUNIGARA4 (no. 839)))
(ePSD; Akkadian Dictionary)",010+586,013+374,"U+1202D & U+12236
(AN & MUSH OVER MUSH)"
𒀭𒅎𒈪,𒀭𒅎𒈪,"AN.IM.MI
(dANZU2, dANZUD2)
(ePSD; Akkadian Dictionary)",010+641+681,013+399+427,"U+1202D & U+1214E & U+1222A
(AN & IM & MI)"
𒀭𒅎𒂂,𒀭𒅎𒂂,"AN.IM.DUGUD
(dANZU, dANZUD)
(ePSD; Akkadian Dictionary)",010+641+704,013+399+445,"U+1202D & U+1214E & U+12082
(AN & IM & DUGUD)"
𒀭𒁹𒀭,𒀭𒁹𒀭,"AN.DIŠ.AN
(TILLA3 (MesZL: ?))
(ePSD; Akkadian Dictionary)",010+748+010,013+480+013,"U+1202D & U+12079 & U+1202D
(AN & DISH & AN)"
𒀭𒈨𒌍,𒀭𒈨𒌍,"AN.MEŠ
(AN.ME.EŠ; ILI7)
(ePSD; Akkadian Dictionary)",010+754,013+533,"U+1202D & U+12228 & U+1230D
(AN & ME & U U U)"
𒀭𒀀𒉡,𒀭𒀀𒉡,"AN.A.NU
(ANU (Labat; MesZL: ANU = AN (no. 10)))
(ePSD; Akkadian Dictionary)",010+839+112,013+579+075,"U+1202D & U+12000 & U+12261
(AN & A & NU)"
𒀭𒀀𒇉,𒀭𒀀𒇉,"AN.A.ENGUR
(ITI4, ITA4, dID2, ITU4)
(ePSD; Akkadian Dictionary)",010+839+756,013+579+484,"U+1202D & U+12000 & U+121C9
(AN & A & LAGAB TIMES HAL)"
𒀸𒋩,𒀸𒋩,"AŠ.ŠUR
(AŠ+SUR (MesZL: ligature))
(ePSD; Akkadian Dictionary)",11,14,"U+12038 & U+122E9
(ASH & SUR)"
𒈮,𒈮,"MUG
(BUG, BUK, GAGIM, GAKIM, GUGIM, GUKIM, MUK, MUQ, PUG, PUK, ŠUK2, UTTU4 (MesZL: UTTU4 = ZADIM, but perhaps better MUG (no. 12); Labat: ANZADIM (no. 4)), WUK (MesZL: perhaps needless))
(ePSD; Akkadian Dictionary)",12,3,"U+1222E
(MUG)"
𒈯,𒈯,"ZADIM
(MUG gunû; UTTU4 (MesZL: UTTU4 = ZADIM, but perhaps better MUG (no. 12); Labat: ANZADIM (no. 4))), MUG3 (Labat; MesZL: MUG3 missing), MUK3 (Labat; MesZL: MUK3 missing), MUQ3 (Labat; MesZL: MUQ3 missing))
(ePSD; Akkadian Dictionary)",13,4,"U+1222F
(MUG GUNU)"
𒈯𒆜,𒈯𒆜,"ZADIM.KASKAL
(KIŠI13 (Labat: ?; MesZL: KIŠI13 = AḪ.KASKAL (no. 638)))
(ePSD; Akkadian Dictionary)",013+302,004+166,"U+1222F & U+1219C
(MUG GUNU & KASKAL)"
𒁀,𒁀,"BA
(BE4 (MesZL: Deimel differently), BI6, LIBIT (MesZL: ?), PA2, WA (Labat: WA = BA, but also PI (no. 383)), WA2 (MesZL: Labat differently; Labat: WA2 =? NI (no. 231)))
(ePSD; Akkadian Dictionary)",14,5,"U+12040
(BA)"
𒁀𒌑,𒁀𒌑,"BA.U2
(BA6 (MesZL: BA6 = also U2 (no. 490)), BI6, BU11 (MesZL: BU11 = also U2 (no. 490), Labat BU8), LIBIT (MesZL: ?), PA2)
(ePSD; Akkadian Dictionary)",014+490,005+318,"U+12040 & U+12311
(BA & U2)"
𒍪,𒍪,"ZU
(KA14, KI6, SU2, ṢU2)
(ePSD; Akkadian Dictionary)",15,6,"U+1236A
(ZU)"
𒍪𒀊,𒍪𒀊,"ABZU
(ZU.AB, ZU+AB)
(ePSD; Akkadian Dictionary)",015+223,006+128,"U+1236A & U+1200A
(ZU & AB)"
𒋢,𒋢,"SU
(1/36, GUŠ, KUS, KUŠ, KUZ, SUG6 (MesZL: Deimel differently), SUM3 (MesZL: to be erased), ŚU, ŠU11)
(ePSD; Akkadian Dictionary)",16,7,"U+122E2
(SU)"
𒋣,𒋣,"SU over SU
(E6 (MesZL: not SU.SU))
(ePSD; Akkadian Dictionary)",16,007v,"U+122E3
(SU OVER SU)"
𒋢𒋢,𒋢𒋢,"SU.SU
(E6 (Labat; MesZL: E6 = SU over SU (no. 16), not SU.SU))
(ePSD; Akkadian Dictionary)",016+016,007+007,"U+122E2 & U+122E2
(SU & SU)"
𒋢𒆳𒊒,𒋢𒆳𒊒,"SU.KUR.RU
(SUD3, ŠURUPPAK, ŠURIPPAK, ŠURUPAK, ŠURIPAK)
(ePSD; Akkadian Dictionary)",016+578+111,007+366+068,"U+122E2 & U+121B3 & U+12292
(SU & KUR & RU)"
𒋢𒀀,𒋢𒀀,"SU.A
(AKTUM2)
(ePSD; Akkadian Dictionary)",016+839,007+579,"U+12000 & U+122E2
(SU & A)"
𒊿,𒊿,"ŠEN
(SU x A; DUR6 (Labat; MesZL: DUR10, DUR6 missing), DUR10, RIG4 (Labat; MesZL: RIG4 missing), RIK4 (MesZL: ?), RIQ4 (Labat; MesZL: RIQ4 missing), RUG, RUK, RUQ, RUQU, SAN (Labat: Labat: in index SAN =? ŠEN (no. 17), but in Addendum SAN = SAG (no. 184), SAN2 missing; MesZL: SAN = SAG (no. 184); KŠ: perhaps mistake and SAN = SAG (no. 184)), SAN2 (MesZL: Labat SAN), SUN6, ŠAN3, ŠIN, ŠUN)
(ePSD; Akkadian Dictionary)",17,8,"U+122BF
(SHEN)"
𒀴,𒀴,"ARAD
(ARDA, ER3, ERAD, ERI3, ERU, ERUM, IR3, NINTAḪ2, NIT2 (Labat; MesZL: NIT2 missing), NITA2, NITAḪ2 (MesZL: Labat and Deimel differently; Labat: NITAḪ2 = LU2.ŠE (no. 514)), ŠUBUR2, URDA(MesZL: Labat and Deimel differently; Labat: URDA = ARAD2 (no. 19)), URDU, URUM4 (Labat: ?; MesZL: URUM4 = UR2 x ḪA (no. 347)), WAR3)
(ePSD; Akkadian Dictionary)",18,50,"U+12034
(ARAD)"
𒀴 x 𒊺,𒀴 x 𒊺,"ARAD x ŠE
(IR3 x ŠE; IR11 (Labat; MesZL: IR11=ARAD2 (no. 19; ARAD x KUR), IR11 is opened))
(ePSD; Akkadian Dictionary)",018 (sign ARAD),050 (sign ARAD),
𒀴𒊏,𒀴𒊏,"ER3.RA
(ARAD.RA (MesZL: better ER3.RA); ERA)
(ePSD; Akkadian Dictionary)",018+511,050+328,"U+12034 & U+1228F
(ARAD & RA)"
𒀴𒆪,𒀴𒆪,"ARAD.KU
(GALAX)
(ePSD; Akkadian Dictionary)",018+808,050+536,"U+12034 & U+121AA
(ARAD & KU)"
𒀵,𒀵,"ARAD2
(ARAD x KUR (MesZL: reconstruction); AMME (Labat: ?; MesZL: AMME missing), GE24, GEME3 (MesZL: Labat and Deimel AMME), GEREŠ3 (MesZL: Deimel GIREŠ), GIREŠ3 (MesZL: Deimel GIREŠ), GIRIŠ3 (MesZL: Deimel GIREŠ), KIBAŠ (Labat; MesZL: KIBAŠ missing), KIRAŠ(MesZL: Labat and Deimel KIBAŠ), IR11 (MesZL: IR11 is opened; Labat: IR11 = IR3 x ŠE (no. 18)), URDA (Labat; MesZL: URDA = ARAD (no. 18)), URDA2 (MesZL: Labat and Deimel URDA), URDU2)
(ePSD; Akkadian Dictionary)",19,51,"U+12035
(ARAD TIMES KUR)"
𒌗,𒌗,"ITI
(UD x U.U.U, UD x EŠ; A13, ARAḪ (Labat; MesZL: ARAḪ missing), DU16 (MesZL: to be erased), ID8, ITU, ITUD (Labat: ?; MesZL: ITUD missing), TI10, U22)
(ePSD; Akkadian Dictionary)",20,52,"U+12317
(UD TIMES U PLUS U PLUS U)"
𒌚,𒌚,"ITI
(UD šeššig)
(ePSD; Akkadian Dictionary)",20,52,"U+1231A
(UD SHESHIG)"
𒌗𒆵,𒌗𒆵,"ITI.KUŠU2
(A13.KUŠU2; AKŠAK3 (MesZL: ?, A13.KUŠU2 or A13.KUŠU2))
(ePSD; Akkadian Dictionary)",20,052+562,"U+1231A & U+121B5
(UD SHESHIG & KUSHU2)"
𒌗𒀭𒋀𒆠,𒌗𒀭𒋀𒆠,"ITI.AN.ŠEŠ.KI
(ITI.DINGIR.NANNA; ID9 (MesZL: ?), IT9 (MesZL: ?), ITI7 (MesZL: ?))
(ePSD; Akkadian Dictionary)",020+010+535+737,052+013+331+461,"U+12317 & U+1202D & U+12336 & U+121A0
(UD TIMES U PLUS U PLUS U & AN & URI3 & KI)"
𒌗𒆤,𒌗𒆤,"ITI.KID
(NIGIN10, NIMGIN10, NINGIN10)
(ePSD; Akkadian Dictionary)",020+494,052+313,"U+12317 & U+121A4
(UD TIMES U PLUS U PLUS U & KID)"
𒌛,𒌛,"ITI2
(UD šeššig x BAD, ITI x BAD; ARAḪ2 (Labat; MesZL: ARAḪ2 missing), ITU2)
(ePSD; Akkadian Dictionary)",21,52,"U+1231B
(UD SHESHIG TIMES BAD)"
𒋚,𒋚,"ŠUBUR
(SUBAR, SUBIR, SUBUR, ŠUBURA)
(ePSD; Akkadian Dictionary)",22,53,"U+122DA
(SHUBUR)"
𒋚,𒋚,"ŠAḪ
(SAḪ2, SEḪ, SIḪ, ṢAḪ2 (Labat; MesZL: ṢAḪ2 = KID (no. 484)), ṢEḪ(MesZL: Labat ṢIḪ2; Labat: in index as well as in syllabary ṢEḪ, ṢEḪ2 = NE (no. 313)), ṢIḪ (MesZL: Labat ṢIḪ2; Labat: in index ṢIḪ and ṢIḪ2 missing), ŠAḪA, ŠEḪ, ŠIḪ, ŠUḪ2)
(ePSD; Akkadian Dictionary)",23,53,"U+122DA
(SHUBUR)"
𒅗,𒅗,"KA
(BU17, BUM3, DA12, DAG5, DI9 (Labat; MesZL: DI9 missing), DU11, DUG4, E7 (MesZL: Deimel differently), EN4 (MesZL: ?), ENEM (Labat; MesZL: ENEM missing), ENIM, GA14, GIR17, GIRI17, GU3, GUR18 (MesZL: ?), I5, INIM, INU (Labat; MesZL: INU missing), IŠ5, KAG2, KIR4, KIRI3 (MesZL; Labat (AN.)KIRI3), PE4, PI4, QA3, SU11, ŠE28 (MesZL: ?), ŠED17 (MesZL: ?), ŠEG13 (MesZL: ?), ṬU6, ZIB4 (MesZL: ?), ZU2, ZUG (Labat; MesZL: ZUG2, ZUG = SUG (LAGAB x A; no. 795)), ZUG2 (MesZL: Deimel and Labat ZUG), ZUḪ)
(ePSD; Akkadian Dictionary)",24,15,"U+12157
(KA)"
𒅙,𒅗 x 𒀜,"KA x AD
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+12159
(SIGN KA TIMES AD)"
𒅟,𒅗 x 𒁉,"KA x BI
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+1215F
(SIGN KA TIMES BI)"
𒅣,𒅗 x 𒃲,"KA x GAL
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+12163
(KA TIMES GAL)"
𒅧,𒅧,"KA x GI
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+12167
(KA TIMES GI)"
𒅩,𒅩,"KA x GIŠ.SAR
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+12169
(KA TIMES GISH PLUS SAR)"
𒅱,𒅱,"KA x KID
(ePSD; Akkadian Dictionary)",024 (sign KA),015 (sign KA),"U+12171
(KA TIMES KID)"
